tweets,word_level_score_dict
"@OutworldDOTA2 i'm very entertained that all it takes is ""155 IQ"" for me to know precisely who is being discussed.
","{""@outworlddota2"": 0.10715905, ""i'm"": 0.035523, ""very"": 0.05454282999999999, ""entertained"": 0.026989910000000006, ""that"": 0.03446877000000001, ""all"": -0.033360629999999974, ""it"": -0.031682950000000015, ""takes"": -0.06108955000000002, ""is"": -0.04134497000000001, ""\"""": 0.03937043000000001, ""155"": 0.01916177999999999, ""iq"": 0.13736682, ""for"": -0.03807406999999999, ""me"": -0.04551697000000002, ""to"": 0.0028422899999999973, ""know"": 0.015881250000000013, ""precisely"": -0.03371638000000002, ""who"": 0.015871140000000006, ""being"": 0.022412270000000012, ""discussed"": -0.01434007000000001}"
"Indian women want to watch a graphical rape docu but can't take a sexist joke. #feminazi #AdarshLiberal
","{""indian"": 0.0038202999999999987, ""women"": -0.00047525999999997737, ""want"": 0.029113339999999988, ""to"": 0.03554219000000003, ""watch"": 0.005521540000000047, ""a"": 0.03249894000000009, ""graphical"": 0.00041330000000006084, ""rape"": 0.03493094000000008, ""docu"": -0.002599420000000019, ""but"": 0.0045301899999999895, ""can't"": 0.0, ""take"": 0.03391730000000004, ""sexist"": 0.027573540000000007, ""joke"": 0.00312334000000003, ""#feminazi"": 0.03901594000000008, ""#adarshliberal"": 0.0}"
"RT @cage_rusty: #BlameOneNotAll but apparently public spaces are so dangerous for women we have to moderate our behaviour in a way men don'…
","{""rt"": 0.04721736999999998, ""@cage_rusty"": 0.04395159999999998, "":"": 0.02142780999999999, ""#blameonenotall"": 0.08327122999999997, ""but"": 0.040265709999999955, ""apparently"": 0.07321885, ""public"": 0.07239114999999996, ""spaces"": 0.040738129999999984, ""are"": -0.020464660000000023, ""so"": -0.002708130000000031, ""dangerous"": 0.13289552999999998, ""for"": -0.031844929999999994, ""women"": -0.004491230000000013, ""we"": -0.04023281000000001, ""have"": -0.043157250000000036, ""to"": -0.016649610000000037, ""moderate"": -0.10383707000000003, ""our"": -0.06397713, ""behaviour"": -0.015091330000000014, ""in"": -0.008471670000000042, ""a"": -0.008685230000000044, ""way"": -0.09831897, ""men"": -0.08067616999999999, ""don"": -0.04146299000000003, ""'"": -0.016186930000000044, ""\u2026"": 0.026930989999999988}"
"Sex is fun. Money is rad. People are weird.
","{""sex"": 0.23408335000000002, ""is"": -0.003202539999999976, ""fun"": 0.0014337000000000932, ""money"": -0.03622269999999994, ""rad"": 0.050203, ""people"": 0.07306030000000008, ""are"": 0.0029370000000000784, ""weird"": 0.07306030000000008}"
"@dylanw i didn't come at this looking to attack him. He's the one that told me to piss off.
","{""@dylanw"": -0.035585640000000085, ""i"": 0.0019633599999999696, ""didn't"": -0.033153240000000084, ""come"": -0.033153240000000084, ""at"": -0.033153240000000084, ""this"": -0.033153240000000084, ""looking"": -0.033153240000000084, ""to"": -0.01774740000000008, ""attack"": 0.02924205999999996, ""him"": -0.033153240000000084, ""he's"": -0.02730744000000007, ""the"": -0.021222040000000053, ""one"": -0.033153240000000084, ""that"": -0.033153240000000084, ""told"": -0.033153240000000084, ""me"": -0.033153240000000084, ""piss"": 0.21528941999999995, ""off"": 0.04163908999999999}"
"RT @PeerWorker: @freebsdgirl You just lost $10 from crowd funding of your cause.  Choose your battles.
","{""rt"": -0.13188463999999997, ""@peerworker"": -0.05859050000000002, "":"": -0.16767273000000002, ""@freebsdgirl"": -0.04700290999999998, ""you"": -0.03768557999999997, ""just"": -0.13814598999999997, ""lost"": -0.21577539999999998, ""$"": -0.040898760000000006, ""10"": -0.16573059999999998, ""from"": -0.06861769999999998, ""crowd"": -0.08852430999999997, ""funding"": -0.19239546, ""of"": -0.11851365999999999, ""your"": -0.03089448999999997, ""cause"": -0.09345965999999997, ""choose"": -0.12594431999999997, ""battles"": -0.08282629}"
"@wrarebit what does that have to do with anything?
","{""@wrarebit"": 0.081495053, ""what"": -0.0018249950000000098, ""does"": -0.011843889999999996, ""that"": -0.02152577, ""have"": 0.018017229999999995, ""to"": 0.00031135499999999927, ""do"": -0.028997090000000003, ""with"": -0.03327109, ""anything"": 0.01484059, ""?"": -0.07074807}"
"@alex or in properly angled photographs at low resolution with the brightness jacked up. need this photoshop filter for irl.
","{""@alex"": 0.016374820000000012, ""or"": 0.02964911000000002, ""in"": 0.02708642500000001, ""properly"": 0.030323800000000012, ""angled"": 0.008726220000000007, ""photographs"": 0.02013258000000001, ""at"": 0.03484643600000001, ""low"": 0.028933660000000014, ""resolution"": 0.01770076000000001, ""with"": 0.03947555600000001, ""the"": 0.028595620000000016, ""brightness"": 0.02146124000000002, ""jacked"": 0.051683645000000014, ""up"": 0.03096850000000001, ""need"": 0.03258230000000001, ""this"": 0.032019930000000016, ""photoshop"": -0.00019442999999999544, ""filter"": 0.03410611000000001, ""for"": -0.003600779999999998, ""irl"": 0.02678070000000002}"
"take off your VC fedoras and think about what this really is. it's about the right that anyone has to not be harassed &amp; threatened.
","{""take"": 0.09222031000000003, ""off"": 0.10171147000000003, ""your"": 0.14696622, ""vc"": 0.08700183000000003, ""fedoras"": 0.08154905000000001, ""and"": 0.032270310000000024, ""think"": 0.007803240000000045, ""about"": 0.06659692, ""what"": 0.027950540000000024, ""this"": 0.04135108000000004, ""really"": 0.04548779000000003, ""is"": 0.0712603, ""it's"": 0.061341400000000046, ""the"": 0.04196671000000002, ""right"": 0.04029784000000003, ""that"": 0.043249990000000016, ""anyone"": 0.042275280000000026, ""has"": 0.01939940000000001, ""to"": 0.04457794000000004, ""not"": -0.014770000000000005, ""be"": 0.03906564000000001, ""harassed"": 0.08332777000000002, ""&"": 0.02445328000000002, ""threatened"": 0.09265615000000002}"
"@SAOnline_HF @colepram @ThatAwesomeTerr why are you tweeting me with a hashtag for a hate group? shoo
","{""@saonline_hf"": 0.038396050000000015, ""@colepram"": 0.010350549999999958, ""@thatawesometerr"": -0.0020002100000000578, ""why"": 0.023356249999999967, ""are"": 0.010286649999999953, ""you"": 0.0003704999999999403, ""tweeting"": 0.001744389999999929, ""me"": 0.010286649999999953, ""with"": 0.04580598999999996, ""a"": -0.026411249999999997, ""hashtag"": 0.010286649999999953, ""for"": -0.003301620000000005, ""hate"": 0.051467719999999995, ""group"": -0.003301620000000005, ""?"": -0.06926900000000002, ""shoo"": 0.04780024999999999}"
